Entry,Source,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,Defined
,,1915,2291,1045,1160,1902,755,2045,911,
A,H4Lvd,,,,,,,,,| article: Indefinite singular article--some or any one
ABANDON,H4Lvd,,Negativ,,Ngtv,,Weak,,,|
ABANDONMENT,H4,,Negativ,,,,Weak,,,|
ABATE,H4Lvd,,Negativ,,,,,,Passive,|
ABATEMENT,Lvd,,,,,,,,,
ABDICATE,H4,,Negativ,,,,Weak,,Passive,|
ABHOR,H4,,Negativ,,,,,,Passive,|
ABIDE,H4,Positiv,,,,,,Active,,|
ABILITY,H4Lvd,Positiv,,,,Strong,,,,
ABJECT,H4,,Negativ,,,,Weak,,Passive,|
ABLE,H4Lvd,Positiv,,Pstv,,Strong,,,,"| adjective: Having necessary power, skill, resources, etc."
ABNORMAL,H4Lvd,,Negativ,,Ngtv,,,,,|
ABOARD,H4Lvd,,,,,,,,,|
ABOLISH,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
ABOLITION,Lvd,,,,,,,,,
ABOMINABLE,H4,,Negativ,,,Strong,,,,|
ABORTIVE,Lvd,,,,,,,,,
ABOUND,H4,Positiv,,,,,,,Passive,|
ABOUT#1,H4Lvd,,,,,,,,,"| 69% prep: Concerning, in reference to"
ABOUT#2,H4Lvd,,,,,,,,,"| 11% prep-adv: Almost, approximately"
ABOUT#3,H4Lvd,,,,,,,,,"| 6% prep-adv: Around --'walk about',"
ABOUT#4,H4Lvd,,,,,,,,,"| 2% verb-modal: ""About to""--just going to"
ABOUT#5,H4Lvd,,,,,,,,,"| 8% idiom-verb: ""Bring (brought) about""--handled by ""bring"""
ABOUT#6,H4Lvd,,,,,,,,,"| 1% idiom: ""About time""--handled by ""time"""
ABOUT#7,H4Lvd,,,,,,,,,"| 1% idiom-verb: ""Come about""--occur; change direction (nautical)--handled by ""come"""
ABOVE#1,H4Lvd,,,,,,,,,"| 59% prep-adv: Higher than, superior to"
ABOVE#2,H4Lvd,,,,,,,,,| 21% noun-adj-adv: Previously stated
ABOVE#3,H4Lvd,,,,,,,,,"| 19% idiom-adv: ""Above all"""
ABOVE#4,H4Lvd,,,,,,,,,"| 1% idiom-adj: ""Above board""--honest, open--handled by ""board"""
ABRASIVE,H4,,Negativ,,,Strong,,,,|
ABROAD,H4Lvd,,,,,,,,,|
ABRUPT,H4Lvd,,Negativ,,Ngtv,,,,,|
ABSCOND,H4,,Negativ,,,,Weak,Active,,|
ABSENCE,H4Lvd,,Negativ,,,,Weak,,,|
ABSENT#1,H4Lvd,,Negativ,,,,Weak,,Passive,|
ABSENT#2,H4Lvd,,,,,,,,Passive,
